feature_id	S000	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039
Feature_0035	0	0	0	0	0	0	32	0	0	0	0	0	0	0	5	0	0	18	0	0	0	0	0	8	0	0	0	6	0	0	54	0	0	18	0	0	0	0	0	0
Feature_0036	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	32	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	23	0	0
Feature_0037	0	0	0	0	0	0	115	0	0	0	0	7	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
Feature_0038	0	0	0	3	3	0	0	0	0	16	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Feature_0039	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	0	0	0	0	0	0	172	0	0	0	0
Feature_0040	0	16	0	0	0	16	7	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	33	0	0	0	0	11	0	0	0	0	0	0	0	49	0	0	44
Feature_0041	0	0	0	0	0	0	16	0	0	0	51	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Feature_0042	0	8	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	3	0	0	0	0	0
Feature_0043	0	0	0	0	0	0	45	0	13	39	0	0	0	5	1	0	0	0	25	0	0	0	6	0	26	0	0	0	0	0	0	41	0	0	4	0	0	0	0	0
Feature_0044	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0045	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0046	0	0	0	9	0	0	0	32	0	0	0	0	0	0	0	0	0	32	0	0	35	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	60	0
Feature_0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	31	0	0	0	0	0	0	0	0	0	12	0	0	0	27	0	0	1	0	0	0	101	0
Feature_0048	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	96	0	48	0	0	0	61	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
Feature_0049	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	0	0	52	0	0
Feature_0050	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	2	45	0	0	0	10
Feature_0051	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0052	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	21	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0053	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	46	0	0	23	15	0	0	0	0	0	0	4	0	0	0	0	0	0
Feature_0054	0	0	0	5	3	0	0	0	0	0	19	0	8	20	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0055	0	0	0	0	0	0	0	0	0	24	0	0	0	36	0	0	0	0	59	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0
Feature_0056	0	0	0	0	0	0	0	0	22	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	6	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0057	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	20	0
Feature_0058	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	34	0	0	0	0	0	0	37	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0059	0	0	17	0	0	13	0	0	0	0	0	9	0	39	0	0	0	18	2	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
Feature_0060	2	0	20	0	0	0	0	0	8	54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	16	0	0	0	0	0	0	0	0	0
Feature_0061	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	30	0	0	0
Feature_0062	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	51	0	49	0
Feature_0063	1	0	0	0	0	0	0	23	4	0	14	0	5	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Feature_0064	0	0	0	0	6	26	0	0	0	0	19	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	62	0	0	0	0
Feature_0065	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	39	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Feature_0066	0	0	14	0	0	0	13	0	0	0	18	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Feature_0067	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	9	2
Feature_0068	0	0	0	1	0	0	0	0	0	77	0	0	0	0	0	0	0	0	69	4	0	0	0	6	0	0	0	0	0	18	0	0	0	4	2	0	0	0	0	0
Feature_0069	0	0	0	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	20	0	0	0
Feature_0070	1	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	10	0	0	0	16	0	0
Feature_0071	0	3	11	0	6	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21	0	0	3	0	0	0	0	21	3	0	0	0	0	0	0
Feature_0072	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	0	50	0	13	0	0	0	0	0	0	0	0	0	0
Feature_0073	0	0	0	0	0	0	27	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	8	0	0	0	0	0	0	44	0	0
Feature_0074	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
Feature_0075	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1
Feature_0076	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	10	0
Feature_0077	0	0	0	0	0	0	15	6	0	0	0	0	15	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0078	0	0	0	4	0	0	0	6	0	0	0	3	3	0	0	0	2	0	0	2	0	0	0	0	0	31	0	0	0	0	0	11	1	0	0	0	0	0	0	0
Feature_0079	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	16
Feature_0080	0	1	0	3	0	0	0	0	4	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	40	0	0
Feature_0081	0	0	0	0	0	0	0	0	0	10	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	5	0	24	0	0	0
Feature_0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	7	0	0	0	0	0	10	0	0	0	0	0	12	0	0	40	0	0	0	0
Feature_0083	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	5	0	0	3
Feature_0084	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	0	5	0	0	42	0	0	0	0
Feature_0085	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	144	0	102	46
Feature_0086	0	0	0	0	0	0	0	0	0	27	17	0	0	0	0	0	0	0	0	0	0	1	0	5	8	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
Feature_0087	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	9	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0
Feature_0088	0	0	0	0	0	0	6	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Feature_0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Feature_0090	0	0	0	0	0	0	15	0	0	0	0	1	0	13	0	0	0	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	7	0	19	0	0
Feature_0091	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	7	1	1	0	16	0	0	0	0	14	0	0	0	3	0	17	0	0	0	0	0	0	8	0
Feature_0092	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	78	39	0	0	31	6	0	0	0	0
Feature_0093	0	0	0	0	0	0	6	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	33	0	0	0	0	0	0	0	0	0	0
Feature_0094	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Feature_0095	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0096	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	13	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	10	0
Feature_0097	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	7	0	0	0	0	0	0	0	0	0	0
Feature_0098	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0099	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	8	3	0
Feature_0100	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	7	0	0	3	0	0	0	0	0	10	3	0	0	0	0	0	0	0
Feature_0101	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Feature_0102	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Feature_0103	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	6	0	13	0	0	0	0	0	0	0	0
Feature_0104	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0
Feature_0105	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0	0	0	0	10	0	2
Feature_0106	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Feature_0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0108	4	0	0	0	0	2	0	0	0	0	12	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Feature_0109	0	0	0	0	0	0	0	0	2	7	8	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0
Feature_0110	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	15	0	6	0	0	0	0	10	0
Feature_0111	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Feature_0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	16	0	0	0	0
Feature_0113	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	0	0	0	0	0	0	0	0	7	6
Feature_0114	0	0	0	0	0	0	0	0	0	4	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Feature_0115	0	0	4	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0
Feature_0116	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	7	2	0	0	0	1	0	3	0	3	0
Feature_0117	0	0	0	0	0	0	4	1	7	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	8	0
Feature_0118	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	47	0	0	0	0	0	0	0	0	0
Feature_0119	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Feature_0120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Feature_0121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	7	0	0	0	0	0	0	3	0	0	0
Feature_0122	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0123	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	5	0	1	3	0	0	0	0	0	9	0
Feature_0124	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0125	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0
Feature_0126	0	0	0	0	0	2	0	0	0	0	11	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0127	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	3	0	0	0	0	3	0	2
Feature_0128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Feature_0129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0130	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0131	0	0	0	0	5	0	9	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	6	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Feature_0132	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Feature_0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0
Feature_0134	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Feature_0135	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	5	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
Feature_0136	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0
Feature_0137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Feature_0138	0	0	0	0	0	0	0	0	4	0	7	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0139	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0140	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0
Feature_0141	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0142	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0143	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	7	0	0	0	54	0	0	0	17
Feature_0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	7	0	0
Feature_0146	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	19	0	0	0	0	0	0	35	0	30	0	0	0	0	0	6	0
Feature_0147	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0151	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0
Feature_0152	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feature_0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Feature_0154	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	4	0	0
Feature_0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Feature_0156	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0
