feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0021	grouptreatment	1.624705	2.521646	0.6443	5.19e-1	1.00e0	0.1750	0.0180	low	not_significant
Feature_0022	grouptreatment	2.156733	3.959394	0.5447	5.86e-1	1.00e0	0.1500	0.0079	low	not_significant
Feature_0023	grouptreatment	4.123094	1.893744	2.1772	2.95e-2	5.09e-1	0.1750	0.0088	low	not_significant
Feature_0024	grouptreatment	0.042560	1.609231	0.0264	9.79e-1	1.00e0	0.2750	0.0215	medium	not_significant
Feature_0025	grouptreatment	1.258040	2.092804	0.6011	5.48e-1	1.00e0	0.2000	0.0130	low	not_significant
Feature_0026	grouptreatment	-0.707746	1.358046	-0.5212	6.02e-1	1.00e0	0.1500	0.0051	low	not_significant
Feature_0027	grouptreatment	1.179581	3.012530	0.3916	6.95e-1	1.00e0	0.1500	0.0067	low	not_significant
Feature_0028	grouptreatment	1.504077	2.476606	0.6073	5.44e-1	1.00e0	0.1750	0.0152	low	not_significant
Feature_0029	grouptreatment	0.573346	2.008840	0.2854	7.75e-1	1.00e0	0.0500	0.0015	rare	not_significant
Feature_0030	grouptreatment	0.860561	2.709090	0.3177	7.51e-1	1.00e0	0.1750	0.0204	low	not_significant
Feature_0031	grouptreatment	-0.031253	1.907200	-0.0164	9.87e-1	1.00e0	0.1500	0.0059	low	not_significant
Feature_0032	grouptreatment	-0.852996	2.134087	-0.3997	6.89e-1	1.00e0	0.1250	0.0129	low	not_significant
Feature_0033	grouptreatment	2.001480	2.342700	0.8543	3.93e-1	1.00e0	0.1000	0.0053	low	not_significant
Feature_0034	grouptreatment	0.421726	1.758984	0.2398	8.11e-1	1.00e0	0.1500	0.0100	low	not_significant
Feature_0035	grouptreatment	0.447014	1.663536	0.2687	7.88e-1	1.00e0	0.1750	0.0068	low	not_significant
Feature_0036	grouptreatment	-1.707878	2.329135	-0.7333	4.63e-1	1.00e0	0.1250	0.0047	low	not_significant
Feature_0037	grouptreatment	-2.380428	2.394625	-0.9941	3.20e-1	1.00e0	0.1000	0.0054	low	not_significant
Feature_0038	grouptreatment	-0.575364	1.160250	-0.4959	6.20e-1	1.00e0	0.1250	0.0045	low	not_significant
Feature_0039	grouptreatment	2.167811	2.835173	0.7646	4.45e-1	1.00e0	0.1000	0.0072	low	not_significant
Feature_0040	grouptreatment	0.825636	1.451752	0.5687	5.70e-1	1.00e0	0.2250	0.0132	low	not_significant
Feature_0041	grouptreatment	0.192684	1.698973	0.1134	9.10e-1	1.00e0	0.1750	0.0065	low	not_significant
Feature_0042	grouptreatment	2.251292	1.329672	1.6931	9.04e-2	7.30e-1	0.1500	0.0066	low	not_significant
Feature_0043	grouptreatment	0.143101	2.297252	0.0623	9.50e-1	1.00e0	0.2250	0.0117	low	not_significant
Feature_0044	grouptreatment	1.412728	2.118511	0.6668	5.05e-1	1.00e0	0.1250	0.0026	low	not_significant
Feature_0045	grouptreatment	-0.472906	1.587928	-0.2978	7.66e-1	1.00e0	0.2000	0.0050	low	not_significant
Feature_0046	grouptreatment	0.197531	2.696754	0.0732	9.42e-1	1.00e0	0.2250	0.0138	low	not_significant
Feature_0047	grouptreatment	1.163151	1.464937	0.7940	4.27e-1	1.00e0	0.1500	0.0043	low	not_significant
Feature_0048	grouptreatment	1.575536	1.062623	1.4827	1.38e-1	8.44e-1	0.1000	0.0041	low	not_significant
Feature_0049	grouptreatment	1.609438	0.947101	1.6993	8.93e-2	7.30e-1	0.1000	0.0040	low	not_significant
Feature_0050	grouptreatment	0.432864	1.258878	0.3438	7.31e-1	1.00e0	0.1500	0.0019	low	not_significant
Feature_0051	grouptreatment	1.945910	1.480589	1.3143	1.89e-1	9.93e-1	0.1250	0.0020	low	not_significant
Feature_0052	grouptreatment	0.490623	1.577752	0.3110	7.56e-1	1.00e0	0.1250	0.0054	low	not_significant
Feature_0053	grouptreatment	-1.485385	1.493276	-0.9947	3.20e-1	1.00e0	0.1500	0.0042	low	not_significant
Feature_0054	grouptreatment	0.649087	1.651364	0.3931	6.94e-1	1.00e0	0.2000	0.0048	low	not_significant
Feature_0055	grouptreatment	0.652325	1.129712	0.5774	5.64e-1	1.00e0	0.1500	0.0023	low	not_significant
Feature_0056	grouptreatment	-0.998529	1.742147	-0.5732	5.67e-1	1.00e0	0.1000	0.0014	low	not_significant
Feature_0057	grouptreatment	-3.285198	1.902601	-1.7267	8.42e-2	7.30e-1	0.1250	0.0033	low	not_significant
Feature_0058	grouptreatment	1.078810	1.174246	0.9187	3.58e-1	1.00e0	0.1250	0.0019	low	not_significant
Feature_0059	grouptreatment	-2.159484	0.911079	-2.3703	1.78e-2	5.09e-1	0.1250	0.0010	low	not_significant
Feature_0060	grouptreatment	-0.247836	1.389519	-0.1784	8.58e-1	1.00e0	0.1000	0.0059	low	not_significant
Feature_0061	grouptreatment	-0.616186	1.390537	-0.4431	6.58e-1	1.00e0	0.2750	0.0089	medium	not_significant
Feature_0062	grouptreatment	2.795756	1.118427	2.4997	1.24e-2	5.09e-1	0.2250	0.0056	low	not_significant
Feature_0063	grouptreatment	0.967584	1.122368	0.8621	3.89e-1	1.00e0	0.1250	0.0037	low	not_significant
Feature_0064	grouptreatment	-1.016934	1.137076	-0.8943	3.71e-1	1.00e0	0.1500	0.0013	low	not_significant
Feature_0065	grouptreatment	0.996830	1.533929	0.6499	5.16e-1	1.00e0	0.1750	0.0026	low	not_significant
Feature_0066	grouptreatment	0.624154	1.197567	0.5212	6.02e-1	1.00e0	0.0750	0.0014	rare	not_significant
Feature_0067	grouptreatment	-0.244197	1.508434	-0.1619	8.71e-1	1.00e0	0.1750	0.0032	low	not_significant
Feature_0068	grouptreatment	-1.386294	1.177922	-1.1769	2.39e-1	1.00e0	0.0500	0.0002	rare	not_significant
Feature_0069	grouptreatment	0.909818	1.276747	0.7126	4.76e-1	1.00e0	0.2000	0.0061	low	not_significant
Feature_0070	grouptreatment	-1.386294	1.462019	-0.9482	3.43e-1	1.00e0	0.2250	0.0049	low	not_significant
Feature_0071	grouptreatment	0.650588	1.116169	0.5829	5.60e-1	1.00e0	0.0750	0.0033	rare	not_significant
Feature_0072	grouptreatment	-2.014903	1.013931	-1.9872	4.69e-2	6.45e-1	0.2000	0.0040	low	not_significant
Feature_0073	grouptreatment	24.901319	22360.677066	0.0011	9.99e-1	1.00e0	0.0750	0.0025	rare	not_significant
Feature_0074	grouptreatment	1.363305	0.935945	1.4566	1.45e-1	8.56e-1	0.1500	0.0016	low	not_significant
Feature_0075	grouptreatment	-1.211941	1.305674	-0.9282	3.53e-1	1.00e0	0.2250	0.0040	low	not_significant
Feature_0076	grouptreatment	0.324240	1.034289	0.3135	7.54e-1	1.00e0	0.3000	0.0040	medium	not_significant
Feature_0077	grouptreatment	-0.955511	0.959968	-0.9954	3.20e-1	1.00e0	0.1500	0.0027	low	not_significant
Feature_0078	grouptreatment	0.451985	1.279686	0.3532	7.24e-1	1.00e0	0.1500	0.0043	low	not_significant
Feature_0079	grouptreatment	-0.148420	1.071399	-0.1385	8.90e-1	1.00e0	0.2000	0.0035	low	not_significant
Feature_0080	grouptreatment	0.318454	1.134630	0.2807	7.79e-1	1.00e0	0.1000	0.0021	low	not_significant
Feature_0081	grouptreatment	0.146603	0.985972	0.1487	8.82e-1	1.00e0	0.2000	0.0033	low	not_significant
Feature_0082	grouptreatment	1.335001	1.052566	1.2683	2.05e-1	9.93e-1	0.1500	0.0024	low	not_significant
Feature_0083	grouptreatment	-0.587787	0.996271	-0.5900	5.55e-1	1.00e0	0.2250	0.0020	low	not_significant
Feature_0084	grouptreatment	0.575364	0.910204	0.6321	5.27e-1	1.00e0	0.1000	0.0011	low	not_significant
Feature_0085	grouptreatment	-2.890372	1.243762	-2.3239	2.01e-2	5.09e-1	0.0750	0.0007	rare	not_significant
Feature_0086	grouptreatment	25.219775	22360.679605	0.0011	9.99e-1	1.00e0	0.1250	0.0016	low	not_significant
Feature_0087	grouptreatment	-0.374693	1.114522	-0.3362	7.37e-1	1.00e0	0.0750	0.0009	rare	not_significant
Feature_0088	grouptreatment	-0.606136	0.813258	-0.7453	4.56e-1	1.00e0	0.2000	0.0017	low	not_significant
Feature_0089	grouptreatment	1.335001	0.823983	1.6202	1.05e-1	7.30e-1	0.1500	0.0015	low	not_significant
Feature_0090	grouptreatment	-2.367124	1.089247	-2.1732	2.98e-2	5.09e-1	0.1250	0.0008	low	not_significant
Feature_0091	grouptreatment	0.619039	0.890734	0.6950	4.87e-1	1.00e0	0.1750	0.0016	low	not_significant
Feature_0092	grouptreatment	23.428016	22360.681238	0.0010	9.99e-1	1.00e0	0.0750	0.0004	rare	not_significant
Feature_0093	grouptreatment	1.343735	0.807550	1.6640	9.61e-2	7.30e-1	0.1500	0.0026	low	not_significant
Feature_0094	grouptreatment	2.564949	1.121297	2.2875	2.22e-2	5.09e-1	0.1000	0.0007	low	not_significant
Feature_0095	grouptreatment	-0.068993	0.872258	-0.0791	9.37e-1	1.00e0	0.1000	0.0015	low	not_significant
Feature_0096	grouptreatment	0.241162	0.743696	0.3243	7.46e-1	1.00e0	0.1500	0.0008	low	not_significant
Feature_0097	grouptreatment	0.154151	0.901982	0.1709	8.64e-1	1.00e0	0.1500	0.0022	low	not_significant
Feature_0098	grouptreatment	0.336472	0.779194	0.4318	6.66e-1	1.00e0	0.1000	0.0006	low	not_significant
Feature_0099	grouptreatment	24.495857	22360.680889	0.0011	9.99e-1	1.00e0	0.1750	0.0015	low	not_significant
Feature_0100	grouptreatment	-2.564949	1.187920	-2.1592	3.08e-2	5.09e-1	0.0750	0.0004	rare	not_significant
Feature_0101	grouptreatment	0.805625	1.141911	0.7055	4.80e-1	1.00e0	0.2500	0.0030	medium	not_significant
Feature_0102	grouptreatment	2.367124	0.835414	2.8335	4.60e-3	5.09e-1	0.1500	0.0013	low	not_significant
Feature_0104	grouptreatment	0.000000	1.414214	0.0000	1.00e0	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0105	grouptreatment	-1.312186	1.033465	-1.2697	2.04e-1	9.93e-1	0.1000	0.0012	low	not_significant
Feature_0106	grouptreatment	-0.051293	1.062334	-0.0483	9.61e-1	1.00e0	0.1500	0.0016	low	not_significant
Feature_0108	grouptreatment	1.335001	0.887338	1.5045	1.32e-1	8.41e-1	0.2000	0.0022	low	not_significant
Feature_0110	grouptreatment	-0.000000	0.744373	-0.0000	1.00e0	1.00e0	0.1250	0.0017	low	not_significant
Feature_0111	grouptreatment	2.639057	1.297663	2.0337	4.20e-2	6.30e-1	0.0500	0.0001	rare	not_significant
Feature_0112	grouptreatment	-0.737599	0.873399	-0.8445	3.98e-1	1.00e0	0.1750	0.0023	low	not_significant
Feature_0113	grouptreatment	-0.200671	0.766403	-0.2618	7.93e-1	1.00e0	0.1250	0.0005	low	not_significant
Feature_0114	grouptreatment	0.351398	0.947763	0.3708	7.11e-1	1.00e0	0.1500	0.0007	low	not_significant
Feature_0115	grouptreatment	-1.945910	0.863548	-2.2534	2.42e-2	5.09e-1	0.1250	0.0014	low	not_significant
Feature_0116	grouptreatment	1.658228	0.889422	1.8644	6.23e-2	7.30e-1	0.1500	0.0005	low	not_significant
Feature_0117	grouptreatment	0.117783	0.769921	0.1530	8.78e-1	1.00e0	0.1750	0.0016	low	not_significant
Feature_0118	grouptreatment	-1.609438	1.176860	-1.3676	1.71e-1	9.43e-1	0.0500	0.0001	rare	not_significant
Feature_0120	grouptreatment	-0.893818	0.836222	-1.0689	2.85e-1	1.00e0	0.1500	0.0008	low	not_significant
Feature_0121	grouptreatment	22.976028	22360.679367	0.0010	9.99e-1	1.00e0	0.0750	0.0004	rare	not_significant
Feature_0122	grouptreatment	1.386294	0.786607	1.7624	7.80e-2	7.30e-1	0.1250	0.0010	low	not_significant
Feature_0123	grouptreatment	0.510826	0.673300	0.7587	4.48e-1	1.00e0	0.1500	0.0006	low	not_significant
Feature_0124	grouptreatment	1.386294	0.853913	1.6235	1.04e-1	7.30e-1	0.1250	0.0012	low	not_significant
Feature_0125	grouptreatment	1.178655	0.670677	1.7574	7.88e-2	7.30e-1	0.1750	0.0007	low	not_significant
Feature_0126	grouptreatment	0.223144	0.792149	0.2817	7.78e-1	1.00e0	0.1250	0.0006	low	not_significant
Feature_0128	grouptreatment	23.227350	22360.685076	0.0010	9.99e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0129	grouptreatment	2.639057	1.136253	2.3226	2.02e-2	5.09e-1	0.1000	0.0009	low	not_significant
Feature_0130	grouptreatment	-1.041454	0.670345	-1.5536	1.20e-1	7.94e-1	0.1500	0.0011	low	not_significant
Feature_0131	grouptreatment	1.163151	0.915833	1.2700	2.04e-1	9.93e-1	0.1500	0.0002	low	not_significant
Feature_0132	grouptreatment	0.451985	0.852308	0.5303	5.96e-1	1.00e0	0.1000	0.0007	low	not_significant
Feature_0133	grouptreatment	1.386294	0.824116	1.6822	9.25e-2	7.30e-1	0.1250	0.0003	low	not_significant
Feature_0134	grouptreatment	0.000000	0.784219	0.0000	1.00e0	1.00e0	0.1000	0.0002	low	not_significant
Feature_0135	grouptreatment	-0.559616	0.689461	-0.8117	4.17e-1	1.00e0	0.1500	0.0007	low	not_significant
Feature_0136	grouptreatment	-0.587787	0.834333	-0.7045	4.81e-1	1.00e0	0.1250	0.0011	low	not_significant
Feature_0137	grouptreatment	22.639552	22360.677376	0.0010	9.99e-1	1.00e0	0.0750	0.0003	rare	not_significant
Feature_0138	grouptreatment	-0.336472	0.852727	-0.3946	6.93e-1	1.00e0	0.0750	0.0005	rare	not_significant
Feature_0139	grouptreatment	0.000000	1.414214	0.0000	1.00e0	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0140	grouptreatment	-22.639557	22360.679780	-0.0010	9.99e-1	1.00e0	0.0500	0.0002	rare	not_significant
Feature_0141	grouptreatment	23.109554	22360.676837	0.0010	9.99e-1	1.00e0	0.0750	0.0005	rare	not_significant
Feature_0142	grouptreatment	23.863334	22360.680859	0.0011	9.99e-1	1.00e0	0.1000	0.0005	low	not_significant
Feature_0143	grouptreatment	0.000000	1.019804	0.0000	1.00e0	1.00e0	0.0750	0.0004	rare	not_significant
Feature_0144	grouptreatment	-0.348307	0.663879	-0.5247	6.00e-1	1.00e0	0.2250	0.0011	low	not_significant
Feature_0145	grouptreatment	-0.367725	0.615782	-0.5972	5.50e-1	1.00e0	0.2000	0.0010	low	not_significant
Feature_0149	grouptreatment	0.847298	0.779957	1.0863	2.77e-1	1.00e0	0.1250	0.0003	low	not_significant
Feature_0150	grouptreatment	-1.609438	1.124722	-1.4310	1.52e-1	8.67e-1	0.0750	0.0003	rare	not_significant
Feature_0152	grouptreatment	-23.332704	22360.679782	-0.0010	9.99e-1	1.00e0	0.0500	0.0005	rare	not_significant
Feature_0153	grouptreatment	-0.980829	0.852447	-1.1506	2.50e-1	1.00e0	0.1000	0.0004	low	not_significant
Feature_0154	grouptreatment	0.693147	0.913783	0.7585	4.48e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0155	grouptreatment	0.693147	0.913783	0.7585	4.48e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0156	grouptreatment	1.386294	1.177922	1.1769	2.39e-1	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0157	grouptreatment	0.788457	0.638179	1.2355	2.17e-1	9.96e-1	0.1750	0.0013	low	not_significant
Feature_0158	grouptreatment	-1.504077	0.931099	-1.6154	1.06e-1	7.30e-1	0.1000	0.0002	low	not_significant
Feature_0159	grouptreatment	1.299283	0.773520	1.6797	9.30e-2	7.30e-1	0.1500	0.0002	low	not_significant
Feature_0160	grouptreatment	-0.287682	0.860717	-0.3342	7.38e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0161	grouptreatment	0.405465	0.924211	0.4387	6.61e-1	1.00e0	0.1000	0.0003	low	not_significant
Feature_0163	grouptreatment	1.386294	1.123610	1.2338	2.17e-1	9.96e-1	0.1000	0.0004	low	not_significant
Feature_0165	grouptreatment	-22.416413	22360.679781	-0.0010	9.99e-1	1.00e0	0.0500	0.0002	rare	not_significant
Feature_0166	grouptreatment	-0.693147	0.872258	-0.7947	4.27e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0167	grouptreatment	-0.693147	1.241974	-0.5581	5.77e-1	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0168	grouptreatment	21.723267	22360.682717	0.0010	9.99e-1	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0170	grouptreatment	-0.000000	0.847545	-0.0000	1.00e0	1.00e0	0.1000	0.0002	low	not_significant
Feature_0171	grouptreatment	-0.287682	0.831164	-0.3461	7.29e-1	1.00e0	0.1000	0.0002	low	not_significant
Feature_0172	grouptreatment	21.723271	22360.680743	0.0010	9.99e-1	1.00e0	0.0500	0.0000	rare	not_significant
Feature_0174	grouptreatment	21.723267	22360.682717	0.0010	9.99e-1	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0176	grouptreatment	0.000000	1.414214	0.0000	1.00e0	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0179	grouptreatment	21.723266	22360.682717	0.0010	9.99e-1	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0181	grouptreatment	1.386294	1.145644	1.2101	2.26e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0184	grouptreatment	0.000000	1.414214	0.0000	1.00e0	1.00e0	0.0500	0.0000	rare	not_significant
