feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
Feature_0035	grouptreatment	0.159332	0.955995	0.1667	8.68e-1	1.00e0	0.1750	0.0068	low	not_significant
Feature_0036	grouptreatment	-1.302415	1.111578	-1.1717	2.41e-1	9.83e-1	0.1250	0.0047	low	not_significant
Feature_0037	grouptreatment	-1.281815	1.252921	-1.0231	3.06e-1	1.00e0	0.1000	0.0054	low	not_significant
Feature_0038	grouptreatment	0.811483	1.259617	0.6442	5.19e-1	1.00e0	0.1250	0.0045	low	not_significant
Feature_0039	grouptreatment	1.069198	1.458371	0.7331	4.63e-1	1.00e0	0.1000	0.0072	low	not_significant
Feature_0040	grouptreatment	1.048788	0.701986	1.4940	1.35e-1	9.43e-1	0.2250	0.0132	low	not_significant
Feature_0041	grouptreatment	-0.094998	0.867312	-0.1095	9.13e-1	1.00e0	0.1750	0.0065	low	not_significant
Feature_0042	grouptreatment	1.566542	0.935445	1.6746	9.40e-2	9.43e-1	0.1500	0.0066	low	not_significant
Feature_0043	grouptreatment	0.836248	0.965491	0.8661	3.86e-1	1.00e0	0.2250	0.0117	low	not_significant
Feature_0044	grouptreatment	1.818319	1.051209	1.7297	8.37e-2	9.20e-1	0.1250	0.0026	low	not_significant
Feature_0045	grouptreatment	1.473083	1.243178	1.1849	2.36e-1	9.83e-1	0.2000	0.0050	low	not_significant
Feature_0046	grouptreatment	0.420675	0.908612	0.4630	6.43e-1	1.00e0	0.2250	0.0138	low	not_significant
Feature_0047	grouptreatment	1.163210	0.863545	1.3470	1.78e-1	9.65e-1	0.1500	0.0043	low	not_significant
Feature_0048	grouptreatment	0.481985	1.340593	0.3595	7.19e-1	1.00e0	0.1000	0.0041	low	not_significant
Feature_0049	grouptreatment	0.519770	1.237013	0.4202	6.74e-1	1.00e0	0.1000	0.0040	low	not_significant
Feature_0050	grouptreatment	-0.260791	1.112808	-0.2344	8.15e-1	1.00e0	0.1500	0.0019	low	not_significant
Feature_0051	grouptreatment	1.543769	1.016236	1.5191	1.29e-1	9.43e-1	0.1250	0.0020	low	not_significant
Feature_0052	grouptreatment	0.085163	1.186051	0.0718	9.43e-1	1.00e0	0.1250	0.0054	low	not_significant
Feature_0053	grouptreatment	0.124053	1.218135	0.1018	9.19e-1	1.00e0	0.1500	0.0042	low	not_significant
Feature_0054	grouptreatment	0.138262	0.902752	0.1532	8.78e-1	1.00e0	0.2000	0.0048	low	not_significant
Feature_0055	grouptreatment	-0.040828	0.951017	-0.0429	9.66e-1	1.00e0	0.1500	0.0023	low	not_significant
Feature_0056	grouptreatment	0.100084	1.619502	0.0618	9.51e-1	1.00e0	0.1000	0.0014	low	not_significant
Feature_0057	grouptreatment	-1.900116	1.213306	-1.5661	1.17e-1	9.43e-1	0.1250	0.0033	low	not_significant
Feature_0058	grouptreatment	0.673620	0.958858	0.7025	4.82e-1	1.00e0	0.1250	0.0019	low	not_significant
Feature_0059	grouptreatment	-0.844708	1.199385	-0.7043	4.81e-1	1.00e0	0.1250	0.0010	low	not_significant
Feature_0060	grouptreatment	-0.247836	1.060922	-0.2336	8.15e-1	1.00e0	0.1000	0.0059	low	not_significant
Feature_0061	grouptreatment	-0.798897	0.744047	-1.0737	2.83e-1	1.00e0	0.2750	0.0089	medium	not_significant
Feature_0062	grouptreatment	2.198290	0.738153	2.9781	2.90e-3	1.20e-1	0.2250	0.0056	low	suggestive
Feature_0063	grouptreatment	0.562200	0.923628	0.6087	5.43e-1	1.00e0	0.1250	0.0037	low	not_significant
Feature_0064	grouptreatment	-0.324354	1.009402	-0.3213	7.48e-1	1.00e0	0.1500	0.0013	low	not_significant
Feature_0065	grouptreatment	0.709295	0.942030	0.7529	4.51e-1	1.00e0	0.1750	0.0026	low	not_significant
Feature_0066	grouptreatment	-0.068993	1.233035	-0.0560	9.55e-1	1.00e0	0.0750	0.0014	rare	not_significant
Feature_0067	grouptreatment	0.672115	0.993058	0.6768	4.99e-1	1.00e0	0.1750	0.0032	low	not_significant
Feature_0068	grouptreatment	NaN	1.414214	NaN	NaN	1.00e0	0.0500	0.0002	rare	not_significant
Feature_0069	grouptreatment	0.399119	0.859185	0.4645	6.42e-1	1.00e0	0.2000	0.0061	low	not_significant
Feature_0070	grouptreatment	-1.165089	0.817911	-1.4245	1.54e-1	9.65e-1	0.2250	0.0049	low	not_significant
Feature_0071	grouptreatment	-0.042565	1.264216	-0.0337	9.73e-1	1.00e0	0.0750	0.0033	rare	not_significant
Feature_0072	grouptreatment	-1.787119	0.882774	-2.0244	4.29e-2	5.90e-1	0.2000	0.0040	low	not_significant
Feature_0073	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0750	0.0025	rare	not_significant
Feature_0074	grouptreatment	0.674865	0.891521	0.7570	4.49e-1	1.00e0	0.1500	0.0016	low	not_significant
Feature_0075	grouptreatment	-0.519928	0.898370	-0.5787	5.63e-1	1.00e0	0.2250	0.0040	low	not_significant
Feature_0076	grouptreatment	-0.012263	0.687735	-0.0178	9.86e-1	1.00e0	0.3000	0.0040	medium	not_significant
Feature_0077	grouptreatment	0.665639	1.392973	0.4779	6.33e-1	1.00e0	0.1500	0.0027	low	not_significant
Feature_0078	grouptreatment	1.145296	0.872968	1.3120	1.90e-1	9.65e-1	0.1500	0.0043	low	not_significant
Feature_0079	grouptreatment	-0.152655	0.948474	-0.1609	8.72e-1	1.00e0	0.2000	0.0035	low	not_significant
Feature_0080	grouptreatment	0.319234	1.154723	0.2765	7.82e-1	1.00e0	0.1000	0.0021	low	not_significant
Feature_0081	grouptreatment	0.702264	0.946426	0.7420	4.58e-1	1.00e0	0.2000	0.0033	low	not_significant
Feature_0082	grouptreatment	1.386012	0.924888	1.4986	1.34e-1	9.43e-1	0.1500	0.0024	low	not_significant
Feature_0083	grouptreatment	-0.368837	0.801126	-0.4604	6.45e-1	1.00e0	0.2250	0.0020	low	not_significant
Feature_0084	grouptreatment	0.589442	1.067931	0.5519	5.81e-1	1.00e0	0.1000	0.0011	low	not_significant
Feature_0085	grouptreatment	NaN	1.224745	NaN	NaN	1.00e0	0.0750	0.0007	rare	not_significant
Feature_0086	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.1250	0.0016	low	not_significant
Feature_0087	grouptreatment	0.319270	1.434680	0.2225	8.24e-1	1.00e0	0.0750	0.0009	rare	not_significant
Feature_0088	grouptreatment	-0.096831	0.779942	-0.1242	9.01e-1	1.00e0	0.2000	0.0017	low	not_significant
Feature_0089	grouptreatment	1.759643	0.898582	1.9582	5.02e-2	5.92e-1	0.1500	0.0015	low	not_significant
Feature_0090	grouptreatment	-1.078036	1.350728	-0.7981	4.25e-1	1.00e0	0.1250	0.0008	low	not_significant
Feature_0091	grouptreatment	-0.305673	0.984610	-0.3105	7.56e-1	1.00e0	0.1750	0.0016	low	not_significant
Feature_0092	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0750	0.0004	rare	not_significant
Feature_0093	grouptreatment	0.718554	0.928211	0.7741	4.39e-1	1.00e0	0.1500	0.0026	low	not_significant
Feature_0094	grouptreatment	NaN	1.154701	NaN	NaN	1.00e0	0.1000	0.0007	low	not_significant
Feature_0095	grouptreatment	-0.069356	1.000004	-0.0694	9.45e-1	1.00e0	0.1000	0.0015	low	not_significant
Feature_0096	grouptreatment	-0.482628	0.868880	-0.5555	5.79e-1	1.00e0	0.1500	0.0008	low	not_significant
Feature_0097	grouptreatment	0.930377	1.041693	0.8931	3.72e-1	1.00e0	0.1500	0.0022	low	not_significant
Feature_0098	grouptreatment	0.415432	1.000001	0.4154	6.78e-1	1.00e0	0.1000	0.0006	low	not_significant
Feature_0099	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.1750	0.0015	low	not_significant
Feature_0100	grouptreatment	NaN	1.224745	NaN	NaN	1.00e0	0.0750	0.0004	rare	not_significant
Feature_0101	grouptreatment	0.420911	0.960502	0.4382	6.61e-1	1.00e0	0.2500	0.0030	medium	not_significant
Feature_0102	grouptreatment	2.213532	0.866027	2.5560	1.06e-2	2.91e-1	0.1500	0.0013	low	not_significant
Feature_0104	grouptreatment	0.000000	2.000000	0.0000	1.00e0	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0105	grouptreatment	-0.215287	1.344615	-0.1601	8.73e-1	1.00e0	0.1000	0.0012	low	not_significant
Feature_0106	grouptreatment	-0.052882	1.077367	-0.0491	9.61e-1	1.00e0	0.1500	0.0016	low	not_significant
Feature_0108	grouptreatment	0.244954	0.936069	0.2617	7.94e-1	1.00e0	0.2000	0.0022	low	not_significant
Feature_0110	grouptreatment	-0.430048	0.912873	-0.4711	6.38e-1	1.00e0	0.1250	0.0017	low	not_significant
Feature_0111	grouptreatment	NaN	1.414214	NaN	NaN	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0112	grouptreatment	0.189437	0.998574	0.1897	8.50e-1	1.00e0	0.1750	0.0023	low	not_significant
Feature_0113	grouptreatment	0.223285	0.946067	0.2360	8.13e-1	1.00e0	0.1250	0.0005	low	not_significant
Feature_0114	grouptreatment	0.353983	0.894133	0.3959	6.92e-1	1.00e0	0.1500	0.0007	low	not_significant
Feature_0115	grouptreatment	NaN	0.912871	NaN	NaN	1.00e0	0.1250	0.0014	low	not_significant
Feature_0116	grouptreatment	1.255050	1.037967	1.2091	2.27e-1	9.83e-1	0.1500	0.0005	low	not_significant
Feature_0117	grouptreatment	0.427141	0.826439	0.5168	6.05e-1	1.00e0	0.1750	0.0016	low	not_significant
Feature_0118	grouptreatment	NaN	1.414214	NaN	NaN	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0120	grouptreatment	-0.964461	0.884544	-1.0903	2.76e-1	1.00e0	0.1500	0.0008	low	not_significant
Feature_0121	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0750	0.0004	rare	not_significant
Feature_0122	grouptreatment	1.204922	0.918580	1.3117	1.90e-1	9.65e-1	0.1250	0.0010	low	not_significant
Feature_0123	grouptreatment	0.696221	0.816498	0.8527	3.94e-1	1.00e0	0.1500	0.0006	low	not_significant
Feature_0124	grouptreatment	1.046855	0.949641	1.1024	2.70e-1	1.00e0	0.1250	0.0012	low	not_significant
Feature_0125	grouptreatment	0.389558	0.836661	0.4656	6.41e-1	1.00e0	0.1750	0.0007	low	not_significant
Feature_0126	grouptreatment	NaN	1.118034	NaN	NaN	1.00e0	0.1250	0.0006	low	not_significant
Feature_0128	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0129	grouptreatment	NaN	1.154701	NaN	NaN	1.00e0	0.1000	0.0009	low	not_significant
Feature_0130	grouptreatment	-0.394338	0.866027	-0.4553	6.49e-1	1.00e0	0.1500	0.0011	low	not_significant
Feature_0131	grouptreatment	1.671794	1.080831	1.5468	1.22e-1	9.43e-1	0.1500	0.0002	low	not_significant
Feature_0132	grouptreatment	0.489514	1.091975	0.4483	6.54e-1	1.00e0	0.1000	0.0007	low	not_significant
Feature_0133	grouptreatment	0.000000	1.269347	0.0000	1.00e0	1.00e0	0.1250	0.0003	low	not_significant
Feature_0134	grouptreatment	1.483533	1.154703	1.2848	1.99e-1	9.65e-1	0.1000	0.0002	low	not_significant
Feature_0135	grouptreatment	-0.641638	0.816498	-0.7858	4.32e-1	1.00e0	0.1500	0.0007	low	not_significant
Feature_0136	grouptreatment	-2.987445	1.224867	-2.4390	1.47e-2	3.47e-1	0.1250	0.0011	low	not_significant
Feature_0137	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0750	0.0003	rare	not_significant
Feature_0138	grouptreatment	0.386386	1.265412	0.3053	7.60e-1	1.00e0	0.0750	0.0005	rare	not_significant
Feature_0139	grouptreatment	0.000000	2.000000	0.0000	1.00e0	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0140	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0002	rare	not_significant
Feature_0141	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0750	0.0005	rare	not_significant
Feature_0142	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.1000	0.0005	low	not_significant
Feature_0143	grouptreatment	-101.145748	1.414214	-71.5208	0.00e0	0.00e0	0.0750	0.0004	rare	very_high
Feature_0144	grouptreatment	-0.152537	0.744292	-0.2049	8.38e-1	1.00e0	0.2250	0.0011	low	not_significant
Feature_0145	grouptreatment	-0.480328	0.707108	-0.6793	4.97e-1	1.00e0	0.2000	0.0010	low	not_significant
Feature_0149	grouptreatment	-0.816329	1.118035	-0.7301	4.65e-1	1.00e0	0.1250	0.0003	low	not_significant
Feature_0150	grouptreatment	NaN	1.224745	NaN	NaN	1.00e0	0.0750	0.0003	rare	not_significant
Feature_0152	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0005	rare	not_significant
Feature_0153	grouptreatment	-1.540373	1.084951	-1.4198	1.56e-1	9.65e-1	0.1000	0.0004	low	not_significant
Feature_0154	grouptreatment	0.000000	1.224746	0.0000	1.00e0	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0155	grouptreatment	0.000000	1.224746	0.0000	1.00e0	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0156	grouptreatment	NaN	1.414214	NaN	NaN	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0157	grouptreatment	2.041020	0.767866	2.6580	7.86e-3	2.59e-1	0.1750	0.0013	low	not_significant
Feature_0158	grouptreatment	-0.621437	1.387528	-0.4479	6.54e-1	1.00e0	0.1000	0.0002	low	not_significant
Feature_0159	grouptreatment	-693.018881	57735.022265	-0.0120	9.90e-1	1.00e0	0.1500	0.0002	low	not_significant
Feature_0160	grouptreatment	0.571237	1.224746	0.4664	6.41e-1	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0161	grouptreatment	NaN	1.000000	NaN	NaN	1.00e0	0.1000	0.0003	low	not_significant
Feature_0163	grouptreatment	-30.488488	1.527525	-19.9594	0.00e0	0.00e0	0.1000	0.0004	low	very_high
Feature_0165	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0002	rare	not_significant
Feature_0166	grouptreatment	-1.923667	1.224747	-1.5707	1.16e-1	9.43e-1	0.0750	0.0002	rare	not_significant
Feature_0167	grouptreatment	428.430872	100000.052614	0.0043	9.97e-1	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0168	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0170	grouptreatment	0.000000	1.000000	0.0000	1.00e0	1.00e0	0.1000	0.0002	low	not_significant
Feature_0171	grouptreatment	1.538354	1.154702	1.3323	1.83e-1	9.65e-1	0.1000	0.0002	low	not_significant
Feature_0172	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0000	rare	not_significant
Feature_0174	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0176	grouptreatment	0.000000	2.000000	0.0000	1.00e0	1.00e0	0.0500	0.0003	rare	not_significant
Feature_0179	grouptreatment	0.000000	NaN	NaN	NaN	1.00e0	0.0500	0.0001	rare	not_significant
Feature_0181	grouptreatment	NaN	1.224745	NaN	NaN	1.00e0	0.0750	0.0002	rare	not_significant
Feature_0184	grouptreatment	0.000000	2.000000	0.0000	1.00e0	1.00e0	0.0500	0.0000	rare	not_significant
